source,mlbam_id,fg_id,player_name,team,adp,overall_rank,format,market_timing_estimate,fantasypros_adp,rotowire_adp,fallback_adp,adp_method,notes
workspace-baseline-2026,622608,,Antonio Senzatela,COL,751.0,773,10-team dynasty startup snake,Reserve / Late,,,751.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,687515,,Colby Thomas,ATH,752.0,774,10-team dynasty startup snake,Reserve / Late,,,752.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,543510,,James McCann,AZ,753.0,775,10-team dynasty startup snake,Reserve / Late,,,753.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666464,,Jerar Encarnacion,SF,754.0,776,10-team dynasty startup snake,Reserve / Late,,,754.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,660813,,Brusdar Graterol,LAD,755.0,777,10-team dynasty startup snake,Reserve / Late,,,755.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,552640,,Andrew Kittredge,BAL,756.0,778,10-team dynasty startup snake,Reserve / Late,,,756.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666711,,Joel Peguero,SF,757.0,779,10-team dynasty startup snake,Reserve / Late,,,757.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,680742,,Jonathan Bowlan,PHI,758.0,780,10-team dynasty startup snake,Reserve / Late,,,758.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,571578,,Patrick Corbin,FA,759.0,781,10-team dynasty startup snake,Reserve / Late,,,759.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,596001,,Jakob Junis,TEX,760.0,782,10-team dynasty startup snake,Reserve / Late,,,760.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,701519,,Travis Adams,MIN,761.0,783,10-team dynasty startup snake,Reserve / Late,,,761.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686894,,Joey Wiemer,WSH,762.0,784,10-team dynasty startup snake,Reserve / Late,,,762.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,518595,,Travis d’Arnaud,LAA,763.0,785,10-team dynasty startup snake,Reserve / Late,,,763.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,642708,,Amed Rosario,NYY,764.0,786,10-team dynasty startup snake,Reserve / Late,,,764.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,641598,,Mitch Garver,SEA,765.0,787,10-team dynasty startup snake,Reserve / Late,,,765.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,571771,,Enrique Hernandez,LAD,766.0,788,10-team dynasty startup snake,Reserve / Late,,,766.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,683769,,Hunter Gaddis,CLE,767.0,789,10-team dynasty startup snake,Reserve / Late,,,767.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,679358,,Eric Orze,MIN,768.0,790,10-team dynasty startup snake,Reserve / Late,,,768.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,640470,,Adbert Alzolay,NYM,769.0,791,10-team dynasty startup snake,Reserve / Late,,,769.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663368,,Blake Perkins,MIL,770.0,792,10-team dynasty startup snake,Reserve / Late,,,770.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,573204,,Caleb Thielbar,CHC,771.0,793,10-team dynasty startup snake,Reserve / Late,,,771.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669369,,Bryce Johnson,SD,772.0,794,10-team dynasty startup snake,Reserve / Late,,,772.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669084,,DL Hall,MIL,773.0,795,10-team dynasty startup snake,Reserve / Late,,,773.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,527048,,Martin Perez,ATL,774.0,796,10-team dynasty startup snake,Reserve / Late,,,774.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,680737,,Michael Helman,TEX,775.0,797,10-team dynasty startup snake,Reserve / Late,,,775.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676775,,Keaton Winn,SF,776.0,798,10-team dynasty startup snake,Reserve / Late,,,776.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,608650,,Dietrich Enns,BAL,777.0,799,10-team dynasty startup snake,Reserve / Late,,,777.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,667297,,Tommy Nance,TOR,778.0,800,10-team dynasty startup snake,Reserve / Late,,,778.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,519141,,Drew Pomeranz,LAA,779.0,801,10-team dynasty startup snake,Reserve / Late,,,779.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,701675,,Nathan Church,STL,780.0,802,10-team dynasty startup snake,Reserve / Late,,,780.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669622,,Anthony Bender,MIA,781.0,803,10-team dynasty startup snake,Reserve / Late,,,781.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,592094,,Jason Adam,SD,782.0,804,10-team dynasty startup snake,Reserve / Late,,,782.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,689266,,Dylan Dodd,ATL,783.0,805,10-team dynasty startup snake,Reserve / Late,,,783.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,677161,,Zack Kelly,BOS,784.0,806,10-team dynasty startup snake,Reserve / Late,,,784.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,675848,,Juan Mejia,COL,785.0,807,10-team dynasty startup snake,Reserve / Late,,,785.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681982,,Grant Anderson,MIL,786.0,808,10-team dynasty startup snake,Reserve / Late,,,786.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,641401,,Connor Brogdon,CLE,787.0,809,10-team dynasty startup snake,Reserve / Late,,,787.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663738,,Daniel Lynch IV,KC,788.0,810,10-team dynasty startup snake,Reserve / Late,,,788.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,641755,,Tyler Kinley,ATL,789.0,811,10-team dynasty startup snake,Reserve / Late,,,789.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,808975,,Hyeseong Kim,LAD,790.0,812,10-team dynasty startup snake,Reserve / Late,,,790.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,702176,,Alan Roden,MIN,791.0,813,10-team dynasty startup snake,Reserve / Late,,,791.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681217,,Chase Silseth,LAA,792.0,814,10-team dynasty startup snake,Reserve / Late,,,792.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,664199,,Taylor Clarke,AZ,793.0,815,10-team dynasty startup snake,Reserve / Late,,,793.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,700669,,Gordon Graceffo,STL,794.0,816,10-team dynasty startup snake,Reserve / Late,,,794.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,606303,,Joel Payamps,ATL,795.0,817,10-team dynasty startup snake,Reserve / Late,,,795.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,665828,,Oswaldo Cabrera,NYY,796.0,818,10-team dynasty startup snake,Reserve / Late,,,796.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669208,,Ryan Bliss,SEA,797.0,819,10-team dynasty startup snake,Reserve / Late,,,797.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,670990,,Yohan Ramirez,PIT,798.0,820,10-team dynasty startup snake,Reserve / Late,,,798.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,670329,,Rico Garcia,BAL,799.0,821,10-team dynasty startup snake,Reserve / Late,,,799.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676508,,Ben Casparius,LAD,800.0,822,10-team dynasty startup snake,Reserve / Late,,,800.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,668984,,Casey Legumina,SEA,801.0,823,10-team dynasty startup snake,Reserve / Late,,,801.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,607455,,Anthony Banda,MIN,802.0,824,10-team dynasty startup snake,Reserve / Late,,,802.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686452,,Drew Millas,WSH,803.0,825,10-team dynasty startup snake,Reserve / Late,,,803.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,628451,,Andy Ibanez,ATH,804.0,826,10-team dynasty startup snake,Reserve / Late,,,804.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682995,,Hunter Barco,PIT,805.0,827,10-team dynasty startup snake,Reserve / Late,,,805.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,668723,,Ryan Vilade,TB,806.0,828,10-team dynasty startup snake,Reserve / Late,,,806.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669724,,Brenan Hanifee,DET,807.0,829,10-team dynasty startup snake,Reserve / Late,,,807.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,621035,,Chris Taylor,FA,808.0,830,10-team dynasty startup snake,Reserve / Late,,,808.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,702352,,Spencer Bivens,SF,809.0,831,10-team dynasty startup snake,Reserve / Late,,,809.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676760,,Ron Marinaccio,SD,810.0,832,10-team dynasty startup snake,Reserve / Late,,,810.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,670167,,John Schreiber,KC,811.0,833,10-team dynasty startup snake,Reserve / Late,,,811.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682120,,Tim Herrin,CLE,812.0,834,10-team dynasty startup snake,Reserve / Late,,,812.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,593974,,Wandy Peralta,SD,813.0,835,10-team dynasty startup snake,Reserve / Late,,,813.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,656638,,Alex Lange,KC,814.0,836,10-team dynasty startup snake,Reserve / Late,,,814.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663804,,Jackson Kowar,BAL,815.0,837,10-team dynasty startup snake,Reserve / Late,,,815.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,691946,,George Klassen,LAA,816.0,838,10-team dynasty startup snake,Reserve / Late,,,816.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669289,,Santiago Espinal,LAD,817.0,839,10-team dynasty startup snake,Reserve / Late,,,817.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,643396,,Isiah Kiner-Falefa,BOS,818.0,840,10-team dynasty startup snake,Reserve / Late,,,818.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663969,,Tyler Phillips,MIA,820.0,841,10-team dynasty startup snake,Reserve / Late,,,820.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,681676,,Ryan Fernandez,STL,821.0,842,10-team dynasty startup snake,Reserve / Late,,,821.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,656222,,Jalen Beeks,TEX,822.0,843,10-team dynasty startup snake,Reserve / Late,,,822.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,571948,,Hoby Milner,CHC,823.0,844,10-team dynasty startup snake,Reserve / Late,,,823.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,686823,,Will Brennan,SF,824.0,845,10-team dynasty startup snake,Reserve / Late,,,824.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,677870,,Leo Jimenez,TOR,825.0,846,10-team dynasty startup snake,Reserve / Late,,,825.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,676801,,Chas McCormick,CHC,826.0,847,10-team dynasty startup snake,Reserve / Late,,,826.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,679032,,Johan Rojas,PHI,827.0,848,10-team dynasty startup snake,Reserve / Late,,,827.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,678489,,Jorge Barrosa,AZ,828.0,849,10-team dynasty startup snake,Reserve / Late,,,828.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,606115,,Orlando Arcia,MIN,829.0,850,10-team dynasty startup snake,Reserve / Late,,,829.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,805299,,Brandyn Garcia,AZ,830.0,851,10-team dynasty startup snake,Reserve / Late,,,830.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663878,,Nate Pearson,HOU,831.0,852,10-team dynasty startup snake,Reserve / Late,,,831.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,695391,,Brett Harris,ATH,833.0,853,10-team dynasty startup snake,Reserve / Late,,,833.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,694851,,Andrew Hoffmann,AZ,834.0,854,10-team dynasty startup snake,Reserve / Late,,,834.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,691182,,Adael Amador,COL,835.0,855,10-team dynasty startup snake,Reserve / Late,,,835.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666661,,Juan Morillo,AZ,836.0,856,10-team dynasty startup snake,Reserve / Late,,,836.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682274,,Yaramil Hiraldo,BAL,837.0,857,10-team dynasty startup snake,Reserve / Late,,,837.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669397,,Nick Allen,HOU,838.0,858,10-team dynasty startup snake,Reserve / Late,,,838.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,596103,,Austin Slater,FA,839.0,859,10-team dynasty startup snake,Reserve / Late,,,839.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666974,,Yennier Cano,BAL,840.0,860,10-team dynasty startup snake,Reserve / Late,,,840.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,685126,,Brandon Eisert,CHW,841.0,861,10-team dynasty startup snake,Reserve / Late,,,841.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,689200,,Jacob Melton,TB,842.0,862,10-team dynasty startup snake,Reserve / Late,,,842.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682790,,Wikelman Gonzalez,CHW,843.0,863,10-team dynasty startup snake,Reserve / Late,,,843.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,664702,,Myles Straw,TOR,844.0,864,10-team dynasty startup snake,Reserve / Late,,,844.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,606996,,Kyle Hart,SD,845.0,865,10-team dynasty startup snake,Reserve / Late,,,845.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,656457,,Tyler Gilbert,CWS,846.0,866,10-team dynasty startup snake,Reserve / Late,,,846.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,690155,,Matt Pushard,STL,847.0,867,10-team dynasty startup snake,Reserve / Late,,,847.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,664141,,JT Brubaker,SF,848.0,868,10-team dynasty startup snake,Reserve / Late,,,848.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669684,,Chris Murphy,CWS,849.0,869,10-team dynasty startup snake,Reserve / Late,,,849.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,621051,,Steven Wilson,TB,850.0,870,10-team dynasty startup snake,Reserve / Late,,,850.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669920,,Jason Alexander,HOU,851.0,871,10-team dynasty startup snake,Reserve / Late,,,851.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,687551,,Drew Gilbert,SF,852.0,872,10-team dynasty startup snake,Reserve / Late,,,852.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,689254,,Mason Fluharty,TOR,853.0,873,10-team dynasty startup snake,Reserve / Late,,,853.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663795,,Justin Hagenman,NYM,854.0,874,10-team dynasty startup snake,Reserve / Late,,,854.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,671286,,Johnathan Rodriguez,CLE,855.0,875,10-team dynasty startup snake,Reserve / Late,,,855.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663967,,Cesar Salazar,HOU,856.0,876,10-team dynasty startup snake,Reserve / Late,,,856.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669199,,Lake Bachar,MIA,857.0,877,10-team dynasty startup snake,Reserve / Late,,,857.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,687863,,Porter Hodge,CHC,858.0,878,10-team dynasty startup snake,Reserve / Late,,,858.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,548384,,Brooks Raley,NYM,859.0,879,10-team dynasty startup snake,Reserve / Late,,,859.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666126,,Carlos Cortes,ATH,860.0,880,10-team dynasty startup snake,Reserve / Late,,,860.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,688297,,Chris Roycroft,STL,861.0,881,10-team dynasty startup snake,Reserve / Late,,,861.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,800311,,Didier Fuentes,ATL,862.0,882,10-team dynasty startup snake,Reserve / Late,,,862.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666134,,Nolan Jones,CLE,863.0,883,10-team dynasty startup snake,Reserve / Late,,,863.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682877,,Juan Brito,CLE,864.0,884,10-team dynasty startup snake,Reserve / Late,,,864.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,657424,,Matt Gage,SF,865.0,885,10-team dynasty startup snake,Reserve / Late,,,865.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,695611,,Gage Jump,ATH,867.0,886,10-team dynasty startup snake,Reserve / Late,,,867.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,500743,,Miguel Rojas,LAD,868.0,887,10-team dynasty startup snake,Reserve / Late,,,868.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,622250,,Josh Sborz,TEX,869.0,888,10-team dynasty startup snake,Reserve / Late,,,869.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,690924,,Braxton Fulford,COL,870.0,889,10-team dynasty startup snake,Reserve / Late,,,870.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,682610,,Roddery Munoz,HOU,871.0,890,10-team dynasty startup snake,Reserve / Late,,,871.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,689225,,Beau Brieske,DET,872.0,891,10-team dynasty startup snake,Reserve / Late,,,872.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669261,,Jack Suwinski,LAD,873.0,892,10-team dynasty startup snake,Reserve / Late,,,873.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,670059,,Colin Holderman,CLE,874.0,893,10-team dynasty startup snake,Reserve / Late,,,874.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,642528,,Jonathan Loaisiga,ARI,875.0,894,10-team dynasty startup snake,Reserve / Late,,,875.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,670231,,John Rave,KC,876.0,895,10-team dynasty startup snake,Reserve / Late,,,876.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,643565,,Mike Tauchman,NYM,877.0,896,10-team dynasty startup snake,Reserve / Late,,,877.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,663941,,Tristan Beck,SF,878.0,897,10-team dynasty startup snake,Reserve / Late,,,878.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,693312,,Kyle Nicolas,CIN,879.0,898,10-team dynasty startup snake,Reserve / Late,,,879.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,542881,,Tyler Anderson,FA,880.0,899,10-team dynasty startup snake,Reserve / Late,,,880.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,669947,,Jesse Scholtens,TB,881.0,900,10-team dynasty startup snake,Reserve / Late,,,881.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,687330,,Kevin Kelly,TB,882.0,901,10-team dynasty startup snake,Reserve / Late,,,882.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,673513,,Yuki Matsui,SD,883.0,902,10-team dynasty startup snake,Reserve / Late,,,883.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,687849,,Zak Kent,MIN,884.0,903,10-team dynasty startup snake,Reserve / Late,,,884.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,688642,,Zach Agnos,COL,885.0,904,10-team dynasty startup snake,Reserve / Late,,,885.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,657097,,Jacob Webb,CHC,886.0,905,10-team dynasty startup snake,Reserve / Late,,,886.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
