pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
214,22,4,Josh M,Emmanuel Rodriguez,hitter,OF,OF/CF/OUTFIELDER,Minors,AAA,340,199.0,,Optioned,Josh M prioritized portfolio balance and optional roster construction; Emmanuel Rodriguez fit as a of contributor; dynasty rank 340; market ADP 199.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
215,22,5,Paul,Blake Snell,pitcher,SP,SP,MLB,MLB,79,106.5,15-day IL,Status Change,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Blake Snell fit as a sp contributor; dynasty rank 79; market ADP 106.5."
216,22,6,Michael,Josh Lowe,hitter,OF,OF,MLB,MLB,297,165.0,,Trade,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Josh Lowe fit as a of contributor; dynasty rank 297; market ADP 165.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
217,22,7,Matt,Edward Cabrera,pitcher,SP,SP,MLB,MLB,181,194.0,,Trade,"Matt prioritized weekly usability, flexibility, and role-driven edges; Edward Cabrera fit as a sp contributor; dynasty rank 181; market ADP 194.0."
218,22,8,Wendell,Kodai Senga,pitcher,SP,SP,MLB,MLB,268,198.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Kodai Senga fit as a sp contributor; dynasty rank 268; market ADP 198.0."
219,22,9,Rob,Brandon Pfaadt,pitcher,SP,SP,MLB,MLB,363,206.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Brandon Pfaadt fit as a sp contributor; dynasty rank 363; market ADP 206.0."
220,22,10,Chris,Jordan Lawlar,hitter,SS,3B/SS/INFIELDER,Minors,MLB,296,134.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Jordan Lawlar fit as a ss contributor; dynasty rank 296; market ADP 134.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
221,23,1,Chris,Moises Ballesteros,hitter,C,DH/C/CATCHER,Minors,MLB,293,229.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Moises Ballesteros fit as a c contributor; dynasty rank 293; market ADP 229.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
222,23,2,Rob,Xander Bogaerts,hitter,SS,SS,MLB,MLB,334,175.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Xander Bogaerts fit as a ss contributor; dynasty rank 334; market ADP 175.0; team OBP build needed reinforcement."
223,23,3,Wendell,Mike Trout,hitter,OF,OF,MLB,MLB,127,184.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Mike Trout fit as a of contributor; dynasty rank 127; market ADP 184.0; team OBP build needed reinforcement."
224,23,4,Matt,Roki Sasaki,pitcher,SP,SP/P/PITCHER,Minors,MLB,135,109.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Roki Sasaki fit as a sp contributor; dynasty rank 135; market ADP 109.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
225,23,5,Michael,Jonathan Aranda,hitter,1B,1B,MLB,MLB,138,181.0,,Number Change,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Jonathan Aranda fit as a 1b contributor; dynasty rank 138; market ADP 181.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
226,23,6,Paul,Ozzie Albies,hitter,2B,2B,MLB,MLB,164,190.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Ozzie Albies fit as a 2b contributor; dynasty rank 164; market ADP 190.0; team OBP build needed reinforcement."
227,23,7,Josh M,Hagen Smith,pitcher,RP,P/PITCHER,Minors,AA,431,215.0,,,Josh M prioritized portfolio balance and optional roster construction; Hagen Smith fit as a late-inning reliever; dynasty rank 431; market ADP 215.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal.
228,23,8,Shane,Nick Pivetta,pitcher,SP,SP,MLB,MLB,122,220.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Nick Pivetta fit as a sp contributor; dynasty rank 122; market ADP 220.0."
229,23,9,Greg,Teoscar Hernandez,hitter,OF,OF,MLB,MLB,140,192.0,,,Greg prioritized present-year reliability and secure MLB roles; Teoscar Hernandez fit as a of contributor; dynasty rank 140; market ADP 192.0; team OBP build needed reinforcement.
230,23,10,Josh V,Addison Barger,hitter,3B,3B/OF,MLB,MLB,133,189.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Addison Barger fit as a 3b contributor; dynasty rank 133; market ADP 189.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
231,24,1,Josh V,Miguel Vargas,hitter,3B,1B/3B,MLB,MLB,312,200.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Miguel Vargas fit as a 3b contributor; dynasty rank 312; market ADP 200.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
232,24,2,Greg,Eugenio Suarez,hitter,3B,3B,MLB,MLB,143,217.0,,Signed as Free Agent,Greg prioritized present-year reliability and secure MLB roles; Eugenio Suarez fit as a 3b contributor; dynasty rank 143; market ADP 217.0; team OBP build needed reinforcement.
233,24,3,Shane,Tatsuya Imai,pitcher,SP,SP,MLB,MLB,157,193.0,,Signed as Free Agent,"Shane prioritized clear jobs, volume paths, and role-change usability; Tatsuya Imai fit as a sp contributor; dynasty rank 157; market ADP 193.0."
234,24,4,Josh M,Charlie Condon,hitter,1B,1B/OF/OUTFIELDER,Minors,AA,389,228.0,,Assigned,Josh M prioritized portfolio balance and optional roster construction; Charlie Condon fit as a 1b contributor; dynasty rank 389; market ADP 228.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal.
235,24,5,Paul,Justin Crawford,hitter,OF,OF/CF/OUTFIELDER,Minors,MLB,338,249.0,,Assigned,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Justin Crawford fit as a of contributor; dynasty rank 338; market ADP 249.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
236,24,6,Michael,Kerry Carpenter,hitter,OF,OF,MLB,MLB,176,187.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Kerry Carpenter fit as a of contributor; dynasty rank 176; market ADP 187.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
237,24,7,Matt,Carlos Correa,hitter,SS,SS/3B,MLB,MLB,288,187.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Carlos Correa fit as a ss contributor; dynasty rank 288; market ADP 187.0; team OBP build needed reinforcement."
238,24,8,Wendell,Marcus Semien,hitter,2B,2B,MLB,MLB,396,198.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Marcus Semien fit as a 2b contributor; dynasty rank 396; market ADP 198.0; team OBP build needed reinforcement."
239,24,9,Rob,Owen Caissie,hitter,OF,OF/RF/OUTFIELDER,Minors,MLB,361,241.0,,Trade,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Owen Caissie fit as a of contributor; dynasty rank 361; market ADP 241.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
240,24,10,Chris,Zac Gallen,pitcher,SP,SP,MLB,MLB,261,214.0,,Assigned,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Zac Gallen fit as a sp contributor; dynasty rank 261; market ADP 214.0."
241,25,1,Chris,George Lombard Jr.,hitter,SS,SS/INFIELDER,Minors,AA,152,243.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; George Lombard Jr. fit as a ss contributor; dynasty rank 152; market ADP 243.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
242,25,2,Rob,Victor Scott II,hitter,OF,OF,MLB,MLB,425,196.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Victor Scott II fit as a speed-impact bat; dynasty rank 425; market ADP 196.0; team OBP build needed reinforcement."
243,25,3,Wendell,Ramon Laureano,hitter,OF,OF,MLB,MLB,253,195.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Ramon Laureano fit as a of contributor; dynasty rank 253; market ADP 195.0; team OBP build needed reinforcement."
244,25,4,Matt,Caleb Durbin,hitter,2B,3B/2B,MLB,MLB,310,217.0,,Trade,"Matt prioritized weekly usability, flexibility, and role-driven edges; Caleb Durbin fit as a 2b contributor; dynasty rank 310; market ADP 217.0; team OBP build needed reinforcement."
245,25,5,Michael,Masyn Winn,hitter,SS,SS,MLB,MLB,236,201.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Masyn Winn fit as a ss contributor; dynasty rank 236; market ADP 201.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
246,25,6,Paul,Dylan Beavers,hitter,OF,OF/RF/OUTFIELDER,Minors,MLB,318,261.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Dylan Beavers fit as a of contributor; dynasty rank 318; market ADP 261.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
247,25,7,Josh M,Bryce Rainer,hitter,SS,SS/INFIELDER,Minors,Single-A,171,224.0,,,Josh M prioritized portfolio balance and optional roster construction; Bryce Rainer fit as a ss contributor; dynasty rank 171; market ADP 224.0; as a minor-league stash; the prospect was deeper in the minors than this manager usually prefers.
248,25,8,Shane,Josue Briceno,hitter,C,C/CATCHER,Minors,AA,226,252.0,,Assigned,"Shane prioritized clear jobs, volume paths, and role-change usability; Josue Briceno fit as a c contributor; dynasty rank 226; market ADP 252.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
249,25,9,Greg,Jorge Polanco,hitter,2B,2B/3B,MLB,MLB,298,215.0,,,Greg prioritized present-year reliability and secure MLB roles; Jorge Polanco fit as a 2b contributor; dynasty rank 298; market ADP 215.0; team OBP build needed reinforcement.
250,25,10,Josh V,Jung Hoo Lee,hitter,OF,OF,MLB,MLB,319,204.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Jung Hoo Lee fit as a of contributor; dynasty rank 319; market ADP 204.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
251,26,1,Josh V,Royce Lewis,hitter,3B,3B,MLB,MLB,161,197.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Royce Lewis fit as a 3b contributor; dynasty rank 161; market ADP 197.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
252,26,2,Greg,Robbie Ray,pitcher,SP,SP,MLB,MLB,165,219.0,,,Greg prioritized present-year reliability and secure MLB roles; Robbie Ray fit as a sp contributor; dynasty rank 165; market ADP 219.0.
253,26,3,Shane,Liam Doyle,pitcher,RP,P/PITCHER,Minors,AA,329,250.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Liam Doyle fit as a late-inning reliever; dynasty rank 329; market ADP 250.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
254,26,4,Josh M,Shane Smith,pitcher,SP,SP,MLB,MLB,290,213.0,,,Josh M prioritized portfolio balance and optional roster construction; Shane Smith fit as a sp contributor; dynasty rank 290; market ADP 213.0.
255,26,5,Paul,Ian Happ,hitter,OF,OF,MLB,MLB,205,230.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Ian Happ fit as a of contributor; dynasty rank 205; market ADP 230.0; team OBP build needed reinforcement."
256,26,6,Michael,Daylen Lile,hitter,OF,OF,MLB,MLB,193,222.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Daylen Lile fit as a of contributor; dynasty rank 193; market ADP 222.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
257,26,7,Matt,Jared Jones,pitcher,SP,SP/1B/INFIELDER,Minors,MLB,153,140.0,,Assigned,"Matt prioritized weekly usability, flexibility, and role-driven edges; Jared Jones fit as a sp contributor; dynasty rank 153; market ADP 140.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
258,26,8,Wendell,Michael Wacha,pitcher,SP,SP,MLB,MLB,512,209.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Michael Wacha fit as a sp contributor; dynasty rank 512; market ADP 209.0."
259,26,9,Rob,Kyle Manzardo,hitter,1B,1B,MLB,MLB,180,210.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Kyle Manzardo fit as a 1b contributor; dynasty rank 180; market ADP 210.0; team OBP build needed reinforcement."
260,26,10,Chris,Spencer Jones,hitter,OF,OF/CF/OUTFIELDER,Minors,AA,448,239.0,,Optioned,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Spencer Jones fit as a of contributor; dynasty rank 448; market ADP 239.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
261,27,1,Chris,Franklin Arias,hitter,SS,SS/INFIELDER,Minors,AA,285,280.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Franklin Arias fit as a ss contributor; dynasty rank 285; market ADP 280.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
262,27,2,Rob,Anthony Volpe,hitter,SS,SS,MLB,,289,212.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Anthony Volpe fit as a ss contributor; dynasty rank 289; market ADP 212.0; team OBP build needed reinforcement."
263,27,3,Wendell,Cedric Mullins,hitter,OF,OF,MLB,MLB,485,216.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Cedric Mullins fit as a of contributor; dynasty rank 485; market ADP 216.0; team OBP build needed reinforcement."
264,27,4,Matt,Josh Smith,hitter,SS,1B/SS/3B/OF,MLB,MLB,405,225.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Josh Smith fit as a ss contributor; dynasty rank 405; market ADP 225.0; team OBP build needed reinforcement."
265,27,5,Michael,Evan Carter,hitter,OF,OF,MLB,MLB,347,225.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Evan Carter fit as a of contributor; dynasty rank 347; market ADP 225.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
266,27,6,Paul,Xavier Edwards,hitter,SS,2B/SS,MLB,MLB,222,257.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Xavier Edwards fit as a speed-impact bat; dynasty rank 222; market ADP 257.0; team OBP build needed reinforcement."
267,27,7,Josh M,Jeffrey Springs,pitcher,SP,SP,MLB,MLB,511,214.0,,,Josh M prioritized portfolio balance and optional roster construction; Jeffrey Springs fit as a sp contributor; dynasty rank 511; market ADP 214.0.
268,27,8,Shane,Daniel Palencia,pitcher,RP,RP,MLB,MLB,295,231.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Daniel Palencia fit as a late-inning reliever; dynasty rank 295; market ADP 231.0; team save totals needed attention."
269,27,9,Greg,Matthew Boyd,pitcher,SP,SP,MLB,MLB,350,227.0,,,Greg prioritized present-year reliability and secure MLB roles; Matthew Boyd fit as a sp contributor; dynasty rank 350; market ADP 227.0.
270,27,10,Josh V,Colton Cowser,hitter,OF,OF,MLB,MLB,230,213.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Colton Cowser fit as a of contributor; dynasty rank 230; market ADP 213.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
271,28,1,Josh V,Ezequiel Tovar,hitter,SS,SS,MLB,MLB,233,222.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Ezequiel Tovar fit as a ss contributor; dynasty rank 233; market ADP 222.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
272,28,2,Greg,Chris Bassitt,pitcher,SP,SP,MLB,MLB,522,230.0,,Signed as Free Agent,Greg prioritized present-year reliability and secure MLB roles; Chris Bassitt fit as a sp contributor; dynasty rank 522; market ADP 230.0.
273,28,3,Shane,Brandon Sproat,pitcher,SP,SP/P/PITCHER,Minors,MLB,394,275.0,,Trade,"Shane prioritized clear jobs, volume paths, and role-change usability; Brandon Sproat fit as a sp contributor; dynasty rank 394; market ADP 275.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
274,28,4,Josh M,Brayan Bello,pitcher,SP,SP,MLB,MLB,281,233.0,,,Josh M prioritized portfolio balance and optional roster construction; Brayan Bello fit as a sp contributor; dynasty rank 281; market ADP 233.0.
275,28,5,Paul,Cade Smith,pitcher,RP,RP,MLB,MLB,109,273.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Cade Smith fit as a late-inning reliever; dynasty rank 109; market ADP 273.0."
276,28,6,Michael,Taj Bradley,pitcher,SP,SP,MLB,MLB,306,240.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Taj Bradley fit as a sp contributor; dynasty rank 306; market ADP 240.0; MLB-slot pressure required immediate production."
277,28,7,Matt,Logan Henderson,pitcher,SP,SP/P/PITCHER,Minors,AAA,327,231.0,,Optioned,"Matt prioritized weekly usability, flexibility, and role-driven edges; Logan Henderson fit as a sp contributor; dynasty rank 327; market ADP 231.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
278,28,8,Wendell,Giancarlo Stanton,hitter,OF,OF,MLB,MLB,249,236.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Giancarlo Stanton fit as a of contributor; dynasty rank 249; market ADP 236.0; team OBP build needed reinforcement."
279,28,9,Rob,Jett Williams,hitter,SS,SS/INFIELDER,Minors,AAA,232,283.0,,Assigned,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Jett Williams fit as a ss contributor; dynasty rank 232; market ADP 283.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
280,28,10,Chris,Michael Arroyo,hitter,SS,SS/INFIELDER,Minors,AA,387,285.0,,Assigned,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Michael Arroyo fit as a ss contributor; dynasty rank 387; market ADP 285.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
281,29,1,Chris,Eduardo Quintero,hitter,OF,OF/OUTFIELDER,Minors,High-A,163,276.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Eduardo Quintero fit as a of contributor; dynasty rank 163; market ADP 276.0; as a minor-league stash; the prospect was deeper in the minors than this manager usually prefers."
282,29,2,Rob,Gleyber Torres,hitter,2B,2B,MLB,MLB,273,248.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Gleyber Torres fit as a 2b contributor; dynasty rank 273; market ADP 248.0; team OBP build needed reinforcement."
283,29,3,Wendell,Nathan Eovaldi,pitcher,SP,SP,MLB,MLB,194,247.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Nathan Eovaldi fit as a sp contributor; dynasty rank 194; market ADP 247.0."
284,29,4,Matt,Willi Castro,hitter,2B,2B/3B/OF,MLB,MLB,484,240.0,,Signed as Free Agent,"Matt prioritized weekly usability, flexibility, and role-driven edges; Willi Castro fit as a 2b contributor; dynasty rank 484; market ADP 240.0; team OBP build needed reinforcement."
285,29,5,Michael,Casey Mize,pitcher,SP,SP,MLB,MLB,260,235.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Casey Mize fit as a sp contributor; dynasty rank 260; market ADP 235.0; MLB-slot pressure required immediate production."
286,29,6,Paul,Sal Frelick,hitter,OF,OF,MLB,MLB,197,251.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Sal Frelick fit as a of contributor; dynasty rank 197; market ADP 251.0; team OBP build needed reinforcement."
287,29,7,Josh M,Robby Snelling,pitcher,SP,SP/P/PITCHER,Minors,AAA,228,294.0,,Assigned,Josh M prioritized portfolio balance and optional roster construction; Robby Snelling fit as a sp contributor; dynasty rank 228; market ADP 294.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
288,29,8,Shane,Rhett Lowder,pitcher,SP,SP/P/PITCHER,Minors,MLB,449,298.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Rhett Lowder fit as a sp contributor; dynasty rank 449; market ADP 298.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
289,29,9,Greg,Josh Bell,hitter,1B,1B,MLB,MLB,497,246.0,,,Greg prioritized present-year reliability and secure MLB roles; Josh Bell fit as a 1b contributor; dynasty rank 497; market ADP 246.0; team OBP build needed reinforcement.
290,29,10,Josh V,Jack Flaherty,pitcher,SP,SP,MLB,MLB,248,238.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Jack Flaherty fit as a sp contributor; dynasty rank 248; market ADP 238.0; MLB-slot pressure required immediate production.
291,30,1,Josh V,Drew Rasmussen,pitcher,SP,SP,MLB,MLB,156,244.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Drew Rasmussen fit as a sp contributor; dynasty rank 156; market ADP 244.0; MLB-slot pressure required immediate production.
292,30,2,Greg,Brandon Woodruff,pitcher,SP,SP,MLB,MLB,207,236.0,,,Greg prioritized present-year reliability and secure MLB roles; Brandon Woodruff fit as a sp contributor; dynasty rank 207; market ADP 236.0.
293,30,3,Shane,Arjun Nimmala,hitter,SS,SS/INFIELDER,Minors,High-A,362,277.0,,Assigned,"Shane prioritized clear jobs, volume paths, and role-change usability; Arjun Nimmala fit as a ss contributor; dynasty rank 362; market ADP 277.0; as a minor-league stash; the prospect was deeper in the minors than this manager usually prefers."
294,30,4,Josh M,Jhostynxon Garcia,hitter,OF,OF/CF/OUTFIELDER,Minors,AAA,437,296.0,,Optioned,Josh M prioritized portfolio balance and optional roster construction; Jhostynxon Garcia fit as a of contributor; dynasty rank 437; market ADP 296.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
295,30,5,Paul,Chase Meidroth,hitter,SS,2B/SS,MLB,MLB,373,252.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Chase Meidroth fit as a ss contributor; dynasty rank 373; market ADP 252.0; team OBP build needed reinforcement."
296,30,6,Michael,Noah Cameron,pitcher,SP,SP,MLB,MLB,283,255.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Noah Cameron fit as a sp contributor; dynasty rank 283; market ADP 255.0; MLB-slot pressure required immediate production."
297,30,7,Matt,Colt Keith,hitter,2B,2B/3B/1B,MLB,MLB,301,242.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Colt Keith fit as a 2b contributor; dynasty rank 301; market ADP 242.0; team OBP build needed reinforcement."
298,30,8,Wendell,Dansby Swanson,hitter,SS,SS,MLB,MLB,229,263.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Dansby Swanson fit as a ss contributor; dynasty rank 229; market ADP 263.0; team OBP build needed reinforcement."
299,30,9,Rob,Bryson Stott,hitter,SS,2B/SS,MLB,MLB,256,272.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Bryson Stott fit as a speed-impact bat; dynasty rank 256; market ADP 272.0; team OBP build needed reinforcement."
300,30,10,Chris,Edward Florentino,hitter,OF,OF/OUTFIELDER,Minors,Single-A,277,295.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Edward Florentino fit as a of contributor; dynasty rank 277; market ADP 295.0; as a minor-league stash; the prospect was deeper in the minors than this manager usually prefers."
301,31,1,Chris,Connelly Early,pitcher,SP,SP/P/PITCHER,Minors,MLB,251,439.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Connelly Early fit as a sp contributor; dynasty rank 251; market ADP 439.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
302,31,2,Rob,Matt Chapman,hitter,3B,3B,MLB,MLB,145,264.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Matt Chapman fit as a 3b contributor; dynasty rank 145; market ADP 264.0; team OBP build needed reinforcement."
303,31,3,Wendell,Mick Abel,pitcher,SP,SP/P/PITCHER,Minors,MLB,379,260.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Mick Abel fit as a sp contributor; dynasty rank 379; market ADP 260.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
304,31,4,Matt,Spencer Steer,hitter,1B,1B/OF,MLB,MLB,305,253.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Spencer Steer fit as a 1b contributor; dynasty rank 305; market ADP 253.0; team OBP build needed reinforcement."
305,31,5,Michael,Jack Leiter,pitcher,SP,SP,MLB,MLB,263,262.0,,Number Change,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Jack Leiter fit as a sp contributor; dynasty rank 263; market ADP 262.0; MLB-slot pressure required immediate production."
306,31,6,Paul,Brandon Nimmo,hitter,OF,OF,MLB,MLB,208,279.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Brandon Nimmo fit as a of contributor; dynasty rank 208; market ADP 279.0; team OBP build needed reinforcement."
307,31,7,Josh M,Payton Tolle,pitcher,SP,SP/P/PITCHER,Minors,AAA,177,692.0,,Optioned,Josh M prioritized portfolio balance and optional roster construction; Payton Tolle fit as a sp contributor; dynasty rank 177; market ADP 692.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
308,31,8,Shane,Ryan O’Hearn,hitter,1B,1B/OF,MLB,MLB,496,261.0,,Signed as Free Agent,"Shane prioritized clear jobs, volume paths, and role-change usability; Ryan O’Hearn fit as a 1b contributor; dynasty rank 496; market ADP 261.0; team OBP build needed reinforcement."
309,31,9,Greg,AJ Smith-Shawver,pitcher,RP,P/PITCHER,Minors,MLB,240,218.0,,,Greg prioritized present-year reliability and secure MLB roles; AJ Smith-Shawver fit as a late-inning reliever; dynasty rank 240; market ADP 218.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal.
310,31,10,Josh V,Will Warren,pitcher,SP,SP,MLB,MLB,311,258.0,,Number Change,Josh V prioritized long-term ceiling and upside over market conservatism; Will Warren fit as a sp contributor; dynasty rank 311; market ADP 258.0; MLB-slot pressure required immediate production.
311,32,1,Josh V,Slade Cecconi,pitcher,SP,SP,MLB,MLB,474,257.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Slade Cecconi fit as a sp contributor; dynasty rank 474; market ADP 257.0; MLB-slot pressure required immediate production.
312,32,2,Greg,Parker Messick,pitcher,SP,SP/P/PITCHER,Minors,MLB,440,350.0,,,Greg prioritized present-year reliability and secure MLB roles; Parker Messick fit as a sp contributor; dynasty rank 440; market ADP 350.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal.
313,32,3,Shane,Brendan Donovan,hitter,2B,2B/OF,MLB,MLB,271,271.0,,Trade,"Shane prioritized clear jobs, volume paths, and role-change usability; Brendan Donovan fit as a 2b contributor; dynasty rank 271; market ADP 271.0; team OBP build needed reinforcement."
